iter	Passed	Remaining
473	654	726
474	656	725
475	656	723
476	658	721
477	660	720
478	661	718
479	661	717
480	662	715
481	663	713
482	664	711
483	666	710
484	667	708
485	668	707
486	669	705
487	670	703
488	672	702
489	673	700
490	673	698
491	674	696
492	675	694
493	676	692
494	677	691
495	678	689
496	679	687
497	681	687
498	683	686
499	684	684
500	686	683
501	687	681
502	688	679
503	688	678
504	689	676
505	690	674
506	691	672
507	692	670
508	693	669
509	695	667
510	696	666
511	697	665
512	699	664
513	701	663
514	702	661
515	703	660
516	704	658
517	707	657
518	708	656
519	709	655
520	710	653
521	711	651
522	712	650
523	714	648
524	715	647
525	716	645
526	717	644
527	718	642
528	719	640
529	720	638
530	721	637
531	722	635
532	723	634
533	724	632
534	725	630
535	727	629
536	728	627
537	729	626
538	730	624
539	730	622
540	731	620
541	732	619
542	733	617
543	734	616
544	736	614
545	737	612
546	738	611
547	739	609
548	740	608
549	741	606
550	742	604
551	742	602
552	743	601
553	744	599
554	745	597
555	746	595
556	746	593
557	747	592
558	748	590
559	749	588
560	749	586
561	750	585
562	751	583
563	752	581
564	753	580
565	754	578
566	755	577
567	756	575
568	757	573
569	758	571
570	758	570
571	759	568
572	760	566
573	761	564
574	761	563
575	762	561
576	763	559
577	764	557
578	765	556
579	765	554
580	766	552
581	767	551
582	768	549
583	769	548
584	770	546
585	771	545
586	772	543
587	773	541
588	773	540
589	774	538
590	775	536
591	776	534
592	776	533
593	777	531
594	778	529
595	779	528
596	780	526
597	780	524
598	781	523
599	782	521
600	783	520
601	784	518
602	785	517
603	786	515
604	787	513
605	787	512
606	788	510
607	789	508
608	790	507
609	790	505
610	791	504
611	792	502
612	793	500
613	794	499
614	794	497
615	795	496
616	796	494
617	797	493
618	798	491
619	799	490
620	800	488
621	801	486
622	802	485
623	802	483
624	803	482
625	804	480
626	805	478
627	805	477
628	806	475
629	807	474
630	808	472
631	808	471
632	809	469
633	810	468
634	811	466
635	812	465
636	813	463
637	814	462
638	815	460
639	816	459
640	816	457
641	817	455
642	818	454
643	819	452
644	819	451
645	820	449
646	821	448
647	822	446
648	822	445
649	823	443
650	824	442
651	825	440
652	826	439
653	827	437
654	828	436
655	829	434
656	830	433
657	830	431
658	831	430
659	832	428
660	833	427
661	833	425
662	834	424
663	835	422
664	836	421
665	837	420
666	838	418
667	839	417
668	840	415
669	841	414
670	842	413
671	843	411
672	844	410
673	845	408
674	845	407
675	846	405
676	847	404
677	848	402
678	848	401
679	849	399
680	850	398
681	851	397
682	852	395
683	853	394
684	854	392
685	855	391
686	856	390
687	857	388
688	858	387
689	858	385
690	859	384
691	860	382
692	861	381
693	862	380
694	862	378
695	863	377
696	864	375
697	865	374
698	866	372
699	866	371
700	867	370
701	868	368
702	869	367
703	870	365
704	871	364
705	872	363
706	873	361
707	874	360
708	874	359
709	875	357
710	876	356
711	877	354
712	878	353
713	878	352
714	879	350
715	880	349
716	881	347
717	882	346
718	882	345
719	883	343
720	884	342
721	885	341
722	886	339
723	887	338
724	888	337
725	889	335
726	890	334
727	891	332
728	891	331
729	892	330
730	893	328
731	894	327
732	894	325
733	895	324
734	896	323
735	897	321
736	898	320
737	899	319
738	900	317
739	901	316
740	901	315
741	902	313
742	903	312
743	904	311
744	905	309
745	905	308
746	906	307
747	907	305
748	908	304
749	909	303
750	909	301
751	910	300
752	911	298
753	912	297
754	913	296
755	914	295
756	915	293
757	916	292
758	916	291
759	917	289
760	918	288
761	919	287
762	920	285
763	921	284
764	921	283
765	922	281
766	923	280
767	924	279
768	924	277
769	925	276
770	926	275
771	927	273
772	928	272
773	929	271
774	930	270
775	931	268
776	932	267
777	933	266
778	933	264
779	934	263
780	935	262
781	936	260
782	936	259
783	937	258
784	938	257
785	939	255
786	940	254
787	940	253
788	941	251
789	942	250
790	943	249
791	944	248
792	945	246
793	946	245
794	947	244
795	948	243
796	948	241
797	949	240
798	950	239
799	951	237
800	952	236
801	952	235
802	953	233
803	954	232
804	955	231
805	955	230
806	956	228
807	957	227
808	958	226
809	959	225
810	960	223
811	961	222
812	962	221
813	962	220
814	963	218
815	964	217
816	965	216
817	965	214
818	966	213
819	967	212
820	968	211
821	968	209
822	969	208
823	970	207
824	971	206
825	972	204
826	973	203
827	974	202
828	975	201
829	976	199
830	976	198
831	977	197
832	978	196
833	979	194
834	980	193
835	980	192
836	981	191
837	982	189
838	983	188
839	983	187
840	984	186
841	985	184
842	986	183
843	987	182
844	988	181
845	989	180
846	990	178
847	991	177
848	991	176
849	992	175
850	993	173
851	994	172
852	995	171
853	995	170
854	996	169
855	997	167
856	998	166
857	998	165
858	999	164
859	1000	162
860	1001	161
861	1002	160
862	1003	159
863	1004	158
864	1005	156
865	1006	155
866	1006	154
867	1007	153
868	1008	152
869	1009	150
870	1009	149
871	1010	148
872	1011	147
873	1012	145
874	1013	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1017	138
880	1018	137
881	1019	136
882	1020	135
883	1021	134
884	1022	132
885	1023	131
886	1023	130
887	1024	129
888	1025	128
889	1026	126
890	1027	125
891	1027	124
892	1028	123
893	1029	122
894	1031	120
895	1032	119
896	1033	118
897	1034	117
898	1035	116
899	1036	115
900	1037	114
901	1038	112
902	1039	111
903	1040	110
904	1041	109
905	1041	108
906	1042	106
907	1043	105
908	1044	104
909	1045	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1049	96
916	1051	95
917	1052	93
918	1052	92
919	1053	91
920	1054	90
921	1055	89
922	1056	88
923	1056	86
924	1057	85
925	1058	84
926	1059	83
927	1059	82
928	1060	81
929	1061	79
930	1062	78
931	1063	77
932	1065	76
933	1066	75
934	1067	74
935	1068	73
936	1069	71
937	1069	70
938	1070	69
939	1071	68
940	1072	67
941	1072	66
942	1073	64
943	1074	63
944	1075	62
945	1076	61
946	1077	60
947	1077	59
948	1078	57
949	1079	56
950	1080	55
951	1081	54
952	1082	53
953	1083	52
954	1084	51
955	1085	49
956	1085	48
957	1086	47
958	1087	46
959	1088	45
960	1089	44
961	1090	43
962	1091	41
963	1091	40
964	1092	39
965	1093	38
966	1094	37
967	1095	36
968	1096	35
969	1097	33
970	1098	32
971	1099	31
972	1099	30
973	1100	29
974	1101	28
975	1102	27
976	1103	25
977	1103	24
978	1104	23
979	1105	22
980	1106	21
981	1107	20
982	1107	19
983	1108	18
984	1109	16
985	1110	15
986	1111	14
987	1112	13
988	1113	12
989	1114	11
990	1114	10
991	1115	8
992	1116	7
993	1117	6
994	1118	5
995	1119	4
996	1119	3
997	1120	2
998	1121	1
999	1122	0
